excInstn,excInstnAddr,excInstnFxno,excInstnNm,excInstnTelno,rnum
인천광역시,(21511) 인천광역시 남동구 용천로 208 712호  (간석동),-,한국장애경제인협회인천지회,032-424-4720,14
인천광역시,(22856) 인천광역시 서구 북항로207번길 45 2층(원창동),-,(사)한국장애인표준사업장협회 인천지회,070-5157-6585,15
부산광역시,(48111) 부산광역시 해운대구 세실로27번길 19 지오프라자9층 (좌동),051-703-1698,사회복지법인 장산복지,051-703-1678,16
경기도,(11901) 경기도 구리시 갈매순환로166번길 45 (갈매동) 구리갈매 아너시티 S616호,-,더메이크 사회적협동조합 구리지부 근로지원인지원센터,031-510-0807,17
경상북도,(36759) 경상북도 안동시 풍천면 풍요5길 30-5 4층,-,(사)한국지체장애인협회 경북협회,054-842-9300,18
서울특별시,(04147) 서울특별시 마포구 백범로31길 21 서울복지타운 708호  (공덕동),-,사)한국장애인직업재활시설협회(서울),02-482-8175,19
서울특별시,(08589) 서울특별시 금천구 가산디지털1로 75-24 1510호  (가산동),-,한국장애인식개선교육센터 사회적협동조합,010-9240-6669,20
서울특별시,(04749) 서울특별시 성동구 고산자로 320 3층,02-6008-3525,성동장애인자립생활센터,02-6214-3525,21
전라남도,(57905) 전라남도 순천시 서면 둔대수계길 24 전라남도 장애인직업재활시설협회,-,전라남도장애인직업재활시설협회,070-5001-5035,22
전라북도,(54905) 전라북도 전주시 덕진구 호성1길 33-10 (호성동1가)303호,063-243-2627,두드림사회적협동조합,063-243-2626,23
전라북도,(54887) 전라북도 전주시 덕진구 기린대로 577 3층  (덕진동2가),-,전주시장애인부모회,063-272-8082,24
부산광역시,(48732) 부산광역시 동구 중앙대로236번길 13-5 (초량동),051-465-3105,참아름다워라일터,051-465-3100,25
부산광역시,(49462) 부산광역시 사하구 을숙도대로 660 4층  (장림동),051-265-5512,부산어울림장애인자립생활센터,051-265-5585,26
충청남도,(32584) 충청남도 공주시 신관로 41 원진빌딩 3층 (신관동),041-853-4903,(사)한국지체장애인협회 충남협회,041-853-4907,27
경기도,(17907) 경기도 평택시 평택4로 39 대신빌딩 6층  (합정동),031-647-0900,사단법인 엘린디,031-8054-0910,28
전라남도,(59227) 전라남도 강진군 강진읍 탐진로 37-7 강진군장애인종합복지관 ,-,강진군장애인종합복지관,061-433-8861,29
전라북도,(55628) 전라북도 장수군 장수읍 장천로 400  장수사랑복지재단,063-351-7114,장수사랑복지재단,063-351-7130,30
경기도,(11413) 경기도 양주시 남면 삼일로 427 양주시각장애인협회,031-868-0789,(사)경기도시각장애인연합회양주시지회,031-874-8088,31
서울특별시,(08087) 서울특별시 양천구 신월로 354 502호 (신정동),02-2652-0421,사단법인장애와사회,02-2697-0420,32
울산광역시,(44689) 울산광역시 남구 돋질로113번길 6 신정팰리스 2층 (신정동),052-256-1701,(사)울산장애인자립생활협회,052-256-1700,33
충청북도,(28353) 충청북도 청주시 청원구 밀레니엄1로 55 충북장애인회관 2층 205호,-,(사)한국지체장애인협회 충북협회,043-266-8025,34
서울특별시,(05744) 서울특별시 송파구 오금로 489 602호(거여동),02-6940-9389,사단법인 지에스시,02-2249-2030,35
서울특별시,(06242) 서울특별시 강남구 역삼로3길 7 711호 (역삼동),02-518-2105,사단법인해냄복지회,02-568-2270,36
강원도,(24209) 강원도 춘천시 동면 소양강로 110 101호 (강원도사회복지회관),033-255-2019,사단법인 강원특별자치도시각장애인연합회,033-262-1996,37
충청남도,(31106) 충청남도 천안시 서북구 오성로 107 5층 504호 (두정동),-,충남중증장애인자립생활센터,041-417-6000,38
울산광역시,"(44470) 울산광역시 중구 번영로 395 3층(복산동, 호구빌딩) (복산동)",052-267-7035,사)울산광역시지체장애인협회,052-266-3072,39
경기도,(18412) 경기도 화성시 떡전골로 96-4 707호(미라클프라자) (병점동),031-233-1778,사회적협동조합 다우리,031-222-5288,40
경기도,(14995) 경기도 시흥시 승지로60번길 17 (능곡동) 609호,-,자립생활센터안단테,031-520-7978,41
광주광역시,(61492) 광주광역시 동구 의재로 151 201호 (운림동),062-524-9632,사단법인 아이티케어복지회,062-524-9631,42
서울특별시,(02736) 서울특별시 성북구 오패산로3길 95 사단법인 성북구장애인단체연합회 (하월곡동),02-912-5261,사단법인 성북구장애인단체연합회,02-912-5990,43
서울특별시,(04589) 서울특별시 중구 다산로 172 3층 (신당동),-,사단법인 장애인의 길벗,02-2135-9056,44
경기도,(12556) 경기도 양평군 양평읍 양근로 167 태강빌딩 1층,031-775-6673,양평장애인자립생활센터,031-775-6672,45
경기도,(12749) 경기도 광주시 포돌이로 63 (탄벌동) 한울빌딩 1층,031-762-4585,한소울장애인자립생활센터,031-762-4583,46
경상북도,(39292) 경상북도 구미시 형곡로14길 7  3층 경상북도농아인협회 (형곡동),054-456-4079,사)한국농아인협회 경상북도협회,054-451-4494,47
서울특별시,(08381) 서울특별시 구로구 디지털로27길 24 102-1호(구로동),-,사)모두누리,02-868-8295,48
제주특별자치도,(63225) 제주특별자치도 제주시 연삼로 480 4층 (이도이동),064-722-2994,사)제주장애인체육발전포럼,064-721-2994,49
경기도,(11810) 경기도 의정부시 용민로 98 숲스토리 (민락동),031-823-4249,희망을심는나무사회적협동조합,031-823-4245,50
광주광역시,"(61243) 광주광역시 북구 자동차로 11-9 상가 104호  (임동, 서림마을 다사로움2단지)",062-513-1079,(사)광주광역시장애인총연합회,062-513-1080,51
경기도,(17367) 경기도 이천시 설봉로 7 학산빌딩 4층 (관고동),031-631-2354,이천시장애인자립생활센터,031-631-7874,52
서울특별시,(07802) 서울특별시 강서구 마곡동로3길 6 4층 403호 (마곡동),02-3664-6302,강서퍼스트잡지원센터 사회적협동조합,02-3664-6301,53
경상남도,(50434) 경상남도 밀양시 미리벌로2길 54 302호 (삼문동),055-353-1101,사회복지법인나눔과베품,055-351-1101,54
강원도,(26452) 강원도 원주시 동부순환로 9-8   (단구동),-,원주시장애인종합복지관,033-766-5990,55
서울특별시,(06278) 서울특별시 강남구 도곡로 416 5층  (대치동),02-499-8723,커리어플러스센터,02-499-8721,56
강원특별자치도,(26349) 강원특별자치도 원주시 호저면 쉬고개길 157 사단법인 빛과꿈터 일과사랑,-,사단법인 빛과꿈터 일과사랑,033-735-5340,57
인천광역시,(21511) 인천광역시 남동구 용천로 208 인천사회복지회관 107호 (간석동),-,(사)인천시지체장애인협회,032-884-2373,58
인천광역시,(21511) 인천광역시 남동구 용천로 208 사회복지회관 610호 (간석동),-,인천광역시농아인협회,032-882-2776,59
경상남도,(52852) 경상남도 진주시 사들로123번길 42 (충무공동) 라온프라이빗위버 506호,055-758-1778,(사)경상남도척수장애인협회,055-742-1778,60
충청남도,(31127) 충청남도 천안시 동남구 천중3길 30-1 (원성동),-,(사)한국지체장애인협회 충남협회 천안시지회,041-552-0078,61
충청남도,(31163) 충청남도 천안시 서북구 검은들 3길 45 이노스위트 202호,-,(사)충남척수장애인협회,041-557-5277,62
서울특별시,(07236) 서울특별시 영등포구 의사당대로 22 이룸센터 6층 4호 (여의도동),02-786-8473,사단법인 한국척수장애인협회,02-786-8483,63
전라남도,(58671) 전라남도 목포시 정의로 30 (옥암동),061-287-4993,사단법인 전남지체장애인협회,061-287-4990,64
서울특별시,(02148) 서울특별시 중랑구 망우로 316  502호 (상봉동),02-2207-1073,신세계중랑장애인자립생활센터,02-2207-1072,65
전라북도,(54662) 전라북도 익산시 익산대로 191 1층 (창인동2가),-,전북장애인연맹,063-852-7269,66
전라북도,(55042) 전라북도 전주시 완산구 팔달로 146  (전동),0504-405-1972,사회복지법인 동암,063-284-3333,67
전라북도,(55006) 전라북도 전주시 완산구 권삼득로 40 마음건강  (서노송동),-,사회복지법인 마음건강,063-272-7032,68
경상남도,(51194) 경상남도 창원시 의창구 서상로12번길 67 (서상동) 1층,055-275-7908,사)전국장애인부모연대경남지부,010-4147-1022,69
대구광역시,(41000) 대구광역시 동구 팔공산로 225 대구장애인직업재활시설협회  (덕곡동),053-986-9040,대구장애인직업재활시설협회,053-247-3080,70
서울특별시,(08302) 서울특별시 구로구 가마산로 286  상가 405호 (구로동),02-6273-0233,나눔장애인자립생활센터,02-866-0233,71
부산광역시,(46638) 부산광역시 북구 낙동북로 736 유림노르웨이숲 상가 604호  (구포동),051-792-6481,한국장애인식개선교육센터 사회적협동조합 부산센터,051-506-1498,72
서울특별시,(03751) 서울특별시 서대문구 경기대로 15 엘림넷빌딩 3층 (충정로3가),-,한국농아인협회 서울특별시협회,02-323-4996,73
경상북도,(36759) 경상북도 안동시 풍천면 검무로 4-8 중앙타워 304호,054-854-1033,경북장애인직업재활시설협회,054-856-1030,74
경상북도,(36645) 경상북도 안동시 경동로 405 (태화동) 4층,054-843-8823,경북척수장애인협회 안동시지회,054-843-8822,75
경기도,(16435) 경기도 수원시 팔달구 덕영대로 695 화서프라자 705호 (화서동),031-243-9908,사단법인 경기장애인부모연대,031-245-9901,76
대구광역시,"(41977) 대구광역시 중구 남산로7길 80 (사)대구광역시장애인재활협회 (남산동, 까치아파트)",053-719-4903,(사)대구광역시장애인재활협회,053-255-8166,77
경기도,(11144) 경기도 포천시 중앙로197번길 17 진성빌딩4층 (신읍동),-,포천나눔의집장애인자립생활센터,031-531-2023,78
경기도,(11492) 경기도 양주시 부흥로 1936 (광사동) 다온프라자 603호,031-840-6122,양주시장애인자립생활센터,031-841-6121,79
강원도,(24209) 강원도 춘천시 동면 소양강로 110 강원도사회복지회관 3층 301호 ,-,사단법인 한국지체장애인협회 강원특별자치도지체장애인협회,033-262-1211,80
서울특별시,"(06771) 서울특별시 서초구 매헌로 16 (양재동) 하이브랜드 패션관 6층 6138,6139호",02-786-8486,(사)한국척수장애인협회 서울특별시협회,02-786-8485,81
전라남도,(57906) 전라남도 순천시 서면 청소년수련원길 2 순천시장애인종합복지관 ,061-755-6639,순천시장애인종합복지관,061-755-4462,82
전라남도,(59624) 전라남도 여수시 만성로 173 183-1  (미평동),-,여수시장애인종합복지관,061-652-5005,83
충청북도,(28187) 충청북도 청주시 상당구 남일면 신송효촌길 129 (사)충북장애인부모연대,-,(사)충북장애인부모연대,043-236-8302,84
인천광역시,(22711) 인천광역시 서구 심곡로 81 202호 (심곡동),032-563-2215,큰솔장애인자립생활센터,032-563-3192,85
경상남도,(52613) 경상남도 진주시 이반성면 하곡로 186-17 사회적협동조합 경남고용지원센터,-,사회적협동조합 경남고용지원센터,070-8058-8442,86
서울특별시,(07236) 서울특별시 영등포구 의사당대로 22 이룸센터 404호 (여의도동),02-754-1717,한국장애인고용안정협회,02-754-7755,87
경기도,"(14628) 경기도 부천시 원미구 부일로 414-6 (심곡동, 한일코지세상)",-,어울림사회봉사회,032-663-2580,88
서울특별시,"(07604) 서울특별시 강서구 방화동로 126 삼정코아상사 b01호 (방화동, 삼정아파트)",02-2661-0897,사단법인함께하는나눔과이음,02-2663-0896,89
서울특별시,"(03336) 서울특별시 은평구 연서로 149 동광갈현베르빌 상가 112호 (갈현동, 동광갈현베르빌)",-,은평장애인자립생활센터,02-374-0818,90
서울특별시,(04991) 서울특별시 광진구 자양로 209 3층 (구의동),02-6326-8915,광진나눔장애인자립생활센터,02-454-8119,91
경상남도,(51117) 경상남도 창원시 의창구 동읍 동읍로457번길 48 경남사회복지센터 1층 ,055-294-0067,한국농아인협회 경상남도협회,055-252-8885,92
경상남도,(52613) 경상남도 진주시 이반성면 하곡로 186-17 .,-,사회복지법인 경남직업재활재단,055-759-0093,93
경기도,(17153) 경기도 용인시 처인구 경안천로 46 새마을회관 건물 3층 (마평동),031-326-0303,용인중앙장애인자립생활센터,031-328-3284,94
서울특별시,(07236) 서울특별시 영등포구 의사당대로 22 603호 (여의도동),-,사)한국장애인부모회,02-2678-3131,95
부산광역시,(46278) 부산광역시 금정구 중앙대로 1675 우신빌딩 2층 (부곡동),-,금정장애인자립생활센터,051-582-3334,96
대전광역시,(35080) 대전광역시 중구 유등천동로 232 대전광역시립산성종합복지관  (산성동),042-586-8048,대전광역시립산성종합복지관,042-586-8043,97
경기도,"(10878) 경기도 파주시 청석로 305 센타프라자 303, 304호  (다율동)",031-624-5772,한마음장애인평생교육원,070-4281-4844,98
광주광역시,"(62396) 광주광역시 광산구 여대길 303 상가동 b02호 (산정동, 어등산한국아델리움 2단지)",062-941-9007,사단법인 참,062-419-9006,99
서울특별시,"(05116) 서울특별시 광진구 광나루로56길 85 강변테크노마트, 27층 2718호 (구의동)",02-6971-9588,사단법인 한국근육장애인협회,02-2654-4399,100
경상북도,(37581) 경상북도 포항시 북구 법원로 105 4층 (장성동),-,(사)경북시각장애인연합회,054-277-2552,101
제주특별자치도,(63199) 제주특별자치도 제주시 서광로27길 16 (혼디누림터404호)  (이도일동),064-752-8483,사)한국척수장애인협회 제주특별자치도협회,064-752-8485,102
경기도,(12236) 경기도 남양주시 홍유릉로 273-1 남양주시장애인복지관  (금곡동),-,남양주시장애인복지관,070-5001-3362,103
경기도,(16977) 경기도 용인시 기흥구 강남로 13 (구갈동) 406-1호,031-8057-6182,사회적협동조합 다우리 용인지점,031-293-1778,104
대전광역시,"(34630) 대전광역시 동구 중앙로200번길 66 1004호(10층, 원동)  (원동)",042-822-2636,(사) 대전시지체장애인협회,042-471-0084,105
광주광역시,(61498) 광주광역시 동구 남문로 638-3 광주광역시동구장애인협회 (소태동),062-227-1410,광주광역시동구장애인협회,062-227-1411,106
서울특별시,(08381) 서울특별시 구로구 디지털로 271 208호(벽산디지털밸리3차)  (구로동),02-2612-3392,구로조은장애인자립생활센터,02-6347-3386,107
충청북도,(28549) 충청북도 청주시 서원구 무심서로 613 (사)충북시각장애인복지연합회,-,(사)충북시각장애인복지연합회,043-238-5544,108
충청북도,(28353) 충청북도 청주시 청원구 밀레니엄1로 55 충북장애인회관 2층 201호,043-276-7506,충북지적발달장애인복지협회,043-277-7506,109
경기도,(13319) 경기도 성남시 수정구 수정남로 10 (수진동) 3층 307호,-,(사)경기도시각장애인연합회 성남시지회,031-747-0033,110
경상남도,(52693) 경상남도 진주시 신안로100번길 11-5 (신안동) 2층,-,경남농아인협회진주시지회,055-742-4873,111
경상남도,(51144) 경상남도 창원시 의창구 봉곡로97번길 87 (봉곡동 180-6),055-719-9898,창원시장애인종합복지관,055-237-6485,112
광주광역시,(61139) 광주광역시 북구 동문대로 238-8 480-41 (각화동),062-269-6381,(사)광주광역시북구장애인복지회,062-264-6380,113
경기도,(17915) 경기도 평택시 조개터로2번길 41 장애인회관 (합정동),031-658-0925,(사)경기도시각장애인연합회평택시지회,031-658-0914,114
경기도,(16489) 경기도 수원시 팔달구 경수대로 464 (인계동) 203호,031-203-1668,경기도장애인재활협회,031-203-1665,115
부산광역시,"(48429) 부산광역시 남구 진남로70번길 1 203호 (대연동, 동원빌딩)",051-715-8567,사회복지법인 나사함복지재단,051-627-8566,116
대전광역시,"(35229) 대전광역시 서구 둔산로31번길 72 6층 (둔산동, 홀리뷰빌딩) (둔산동)",042-483-2372,한밭장애인자립생활센터,042-486-2373,117
서울특별시,(03140) 서울특별시 종로구 종로17길 8 3층  (종로2가),02-2179-9093,(사)서울장애인부모연대 종로지회,02-6956-4480,118
경기도,(10239) 경기도 고양시 일산서구 탄현로 139 (탄현동),-,고양시장애인종합복지관,031-929-1463,119
경기도,(13619) 경기도 성남시 분당구 구미로173번길 59 59 (구미동),050-3470-0115,전자신고테스트사업체7,054-4517-5956,120
제주특별자치도,(63199) 제주특별자치도 제주시 서광로27길 16 제주혼디누림터 502호,064-751-8098,(사)제주장애인인권포럼,064-751-8096,121
경기도,(18104) 경기도 오산시 충신이상재길 8-16 참사랑복지회관 2층 (서동),031-372-9956,사)경기도시각장애인연합회오산시지회,031-372-9934,122
전라남도,(58263) 전라남도 나주시 내영산1길 67 전라남도장애인종합복지관  (삼영동),-,전라남도장애인종합복지관,061-332-4107,123
경상남도,(50653) 경상남도 양산시 물금읍 야리1길 11 405호 ,055-381-1332,양산장애인자립생활센터,055-381-1331,124
강원특별자치도,(25428) 강원특별자치도 강릉시 연곡면 진고개로 2714 1층,033-643-8483,사단법인 한국척수장애인협회 강원특별자치도협회,033-655-8483,125
경기도,(13355) 경기도 성남시 중원구 광명로 19 (성남동) 주연빌딩 2층,031-753-7724,중원장애인자립생활센터,031-732-7725,126
대구광역시,(42635) 대구광역시 달서구 달구벌대로291길 100 대구광역시 시각장애인복지관  (용산동),053-568-9001,대구광역시 시각장애인복지관,053-526-9988,127
광주광역시,(61903) 광주광역시 서구 하남대로680번길 1 동림프라자 4층  (동천동),062-521-8835,광주광역시지체장애인협회,062-529-3329,128
충청남도,(32248) 충청남도 홍성군 홍성읍 조양로33번길 17 별관 3층 ,-,(사)한국지체장애인협회충남협회홍성군지회,041-634-0026,129
충청남도,(32416) 충청남도 예산군 삽교읍 청사로 225 엔젤스타워2차 201호,041-338-1764,(사)충청남도장애인부모회,041-338-1760,130
경상남도,(51522) 경상남도 창원시 성산구 용지로 70 (중앙동),055-273-1031,경상남도장애인직업재활시설협회,055-273-1030,131
경기도,(16391) 경기도 수원시 권선구 금곡로 225 211호(딜라이트2)  (금곡동),031-294-8872,다드림사회적일자리교육센터,031-294-8871,132
경기도,(15470) 경기도 안산시 단원구 광덕대로 154 로데오타운 A동 415호 (고잔동),031-487-9845,안산장애인자립생활센터,031-487-9844,133
전라남도,(58749) 전라남도 목포시 미항로 19 (상동) 4층,061-284-3403,(사)한국시각장애인연합회 전남지부,061-284-3401,134
서울특별시,(01322) 서울특별시 도봉구 도봉로164길 33-25 북부법조타운 302호(도봉동) (도봉동),02-455-6887,도봉노적성해장애인자립생활센터,02-455-2887,135
전라북도,(55033) 전라북도 전주시 완산구 관선3길 21-15 장애인위드센터 별관 (남노송동),063-232-1183,전라북도지체장애인협회,063-717-0082,136
서울특별시,"(03095) 서울특별시 종로구 지봉로 81 202호 (창신동, 브라운스톤 창신)",-,사단법인 비하인드유,02-716-0177,137
서울특별시,(08757) 서울특별시 관악구 남부순환로 1717 3층 직업재활센터 (봉천동),02-887-1120,실로암시각장애인복지관,02-880-0845,138
광주광역시,(61985) 광주광역시 서구 상무대로 1032 2층 서구장애인복지관  (화정동),062-710-3024,광주광역시서구장애인복지관,062-710-3020,139
세종특별자치시,(30026) 세종특별자치시 조치원읍 터미널안길 60 702호,044-868-6101,(사)세종시장애인부모회,044-868-6100,140
대전광역시,(34856) 대전광역시 중구 계룡로 825 희영빌딩 1층 대전장애인자립생활센터 (용두동),042-222-6991,대전장애인자립생활센터,042-524-6990,141
서울특별시,(07266) 서울특별시 영등포구 영등포로 147 당산빌딩 B1층 114호  (당산동1가),-,영등포장애인자립생활센터,02-6953-3053,142
울산광역시,(44241) 울산광역시 북구 화봉로 73 5층  (화봉동),052-289-1253,울산장애인인권포럼,052-289-1254,143
인천광역시,"(22163) 인천광역시 미추홀구 경인로 84 (숭의동)5,6층",-,꿈애장애인자립센터,032-872-5033,144
강원특별자치도,(24213) 강원특별자치도 춘천시 동면 춘천순환로 422 3층,-,사단법인 강원특별자치도 지적장애인협회,033-263-5466,145
경기도,(13024) 경기도 하남시 검단로19번길 27 (하산곡동) 다목적복지회관 별관 2층,031-791-0523,사단법인 경기도시각장애인연합회 하남시지회,031-791-7711,146
서울특별시,"(07055) 서울특별시 동작구 상도로 36 2층 201호(대방동, 골든 노블레스)",-,사단법인 윌,02-812-2538,147
서울특별시,(05292) 서울특별시 강동구 구천면로 424 302호(명일메가타운) (명일동),-,사단법인 장애인의양지누림,02-441-9664,148
전라남도,(58684) 전라남도 목포시 신흥로83번길 5 (옥암동) ,061-287-8334,(사)전라남도장애인단체총연합회,061-287-8333,149
부산광역시,(46527) 부산광역시 북구 화명신도시로 117 메트로프라자 801호 (화명동),051-361-2247,부산장애인자립생활센터,051-911-4007,150
전라북도,(54025) 전라북도 군산시 중정1길 3 사)한누리  (중앙로1가),063-443-2007,사단법인한누리,063-443-1005,151
경기도,(10111) 경기도 김포시 사우중로 78 7층 밀레니엄프라자,-,김포장애인자립생활센터,031-997-6420,152
대구광역시,(42418) 대구광역시 남구 대명로 297 명덕빌딩 4층 (대명동),053-654-3088,사)한국농아인협회대구협회,053-623-9929,153
서울특별시,(03086) 서울특별시 종로구 동숭길 25 유리빌딩 3층 (동숭동),-,(사)노란들판,02-6925-7103,154
대구광역시,(41954) 대구광역시 중구 동덕로 61 4층  (대봉동),053-956-4108,사)한국지체장애인협회대구광역시협회,053-954-0170,155
서울특별시,(01414) 서울특별시 마포구 마포대로14가길 19 ,-,사단법인 한국장애인고용안정협회 서울특별시지부,02-795-5415,156
경상북도,(39319) 경상북도 구미시 형곡서로1길 22-1 1층  (형곡동),054-444-4804,(사)한국척수장애인 경북협회,054-458-4804,157
경상북도,(38069) 경상북도 경주시 유림로5번길 85-40 경주시새마을회관1층 (황성동),054-775-6632,경북장애인자립생활센터,054-775-6622,158
경상북도,(39305) 경상북도 구미시 원평동 468,054-454-9882,사단법인 한국교통장애인경북협회,054-456-8110,159
서울특별시,"(06675) 서울특별시 서초구 서초대로4길 51 (방배동, 보람빌)102호",02-537-9665,사단법인장애인사회연구소,02-599-0420,160
서울특별시,"(02629) 서울특별시 동대문구 장한로 43 (장안동, 광성빌딩) 6층",02-969-5603,새날동대문장애인자립생활센터,02-959-5603,161
경기도,(14502) 경기도 부천시 원미구 송내대로 388 (약대동),-,부천시장애인종합복지관,032-621-0606,162
전라북도,(54662) 전라북도 익산시 익산대로 169 1층(창인동1가),063-715-4554,전북종합복지사회적협동조합,063-837-4884,163
대전광역시,(35074) 대전광역시 중구 산서로50번길 39 호두나무 (사정동),042-710-8986,호두나무장애인보호작업장,010-2532-4557,164
전라남도,(57956) 전라남도 순천시 장명로 58 순천문화원 1층 (장천동),-,순천장애인자립생활센터,061-723-0241,165
경기도,(16398) 경기도 수원시 권선구 금호로23번길 21 1층 3호실  (금곡동),-,더메이크 사회적협동조합 수원지부 근로지원인지원센터,010-8753-2161,166
