tfcwkerMvmnCnterNm,rdnmadr,lnmadr,latitude,longitude,carHoldCo,carHoldKnd,slopeVhcleCo,liftVhcleCo,rceptPhoneNumber,rceptItnadr,appSvcNm,weekdayRceptOpenHhmm,weekdayRceptColseHhmm,wkendRceptOpenHhmm,wkendRceptCloseHhmm,weekdayOperOpenHhmm,weekdayOperColseHhmm,wkendOperOpenHhmm,wkendOperCloseHhmm,beffatResvePd,useLmtt,insideOpratArea,outsideOpratArea,useTrget,useCharge,institutionNm,phoneNumber,referenceDate,insttCode,insttNm
하동군교통약자지원센터,경상남도 하동군 하동읍 섬진강대로 2214,,35.0718992894,127.7414394661,7,스타렉스+카니발,8,0,1566-4488,해당없음,경남특별교통수단,06:00,20:00,06:00,20:00,09:00,18:00,09:00,18:00,해당없음,,전지역,"경상남도내,구례군, 광양시",중증장애(보행)+65세이상노약자(소견서첨부),관내:2000원+관외지역 시외버스요금 1.5배,경상남도 하동군청,055-880-2398,2023-07-14,5440000,경상남도 하동군
부산광역시 교통약자이동지원센터(부산시설공단),부산광역시 연제구 중앙대로1226번길 18,부산광역시 연제구 거제동 163-10,35.19784977,129.0800058,222,스타리아(스타렉스)+올뉴카니발+카운티+쏠라티,217,5,1555-1114,http://www.duribal.co.kr/,두리발,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,(경남+울산 지역) 이용희망 전일 예약제(예약시간 09:00~17:00한정) + 편도운행(단 현지 대기시간 1시간 이내일 경우 왕복운행),만취 후 이용시+화물 운송 목적+혼자 탑승이 불가능함에도 보호자를 동반하지 아니한 경우+요금을 지불하지 않는 경우+복지카드 또는 의사소견서 제시를 거부할 경우+상담원 및 운전원에게 욕설 폭언 폭행하는 경우+특별교통수단의 기물을 손괴하는 경우,부산광역시 전지역,경남+울산,중증장애인(기존1~3급):시각·신장·뇌병변·뇌전증(보호자 동반시)·지체(하지)+일시적 휠체어 탑승조건 상지 지체장애인(추가서류제출필요)+일시적 장애인으로 진단서 첨부된 휠체어이용자+65세이상 휠체어이용자면서 장기요양등급인정서(요양등급1~3급) 제출자+휠체어 탑승 복합 중증장애인+교통약자를 동반하는 가족 또는 보호자,기본요금 5km 1800원+이후요금 422m·102초당 100원 추가+시외운행시 시계외할증 20+유료도로 통행료 이용자 부담,부산광역시,051-888-3994,2025-06-19,6260000,부산광역시
세종누리콜,세종특별자치시 연서면 아홉거리길 100,세종특별자치시 연서면 월하리 948-8,36.5941099,127.2841211,33,카니발+k5+니로ev+스타리아,33,0,1899-9042,https://nuricall.sctc.kr/,세종누리콜(승객용),06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,1~2일,1. 탑승시 이용자 확인을 위해 장애인등록증(복지카드) 또는 신분증 제시2. 차량 도착 후 10분 이내에 승차(10분 지나면 취소됨)3.안전을 위하여 승차 시 반드시 안전벨트 착용,세종특별자치시 전지역,대전+청주+천안+공주,① 장애인복지법 시행규칙 제2조 제1항에 따른 장애의 정도가 심한 장애인으로서 대중교통 이용이 어려운 자+② 65세 이상 노인으로 노인요양등급 1등급~3등급 판정을 받은 사람+③ 국가유공자 상이등급 1~3급에 해당하는 자+④ 영유아 동반 및 임산부는 의료기관에서 대중교통 이용이 어렵다는 증빙서류를 제출한 사람+⑤ 일시적으로 휠체어를 이용하는 자로서 의료기관이 발행한 대중교통 이용이 어렵다는 진단서를 제출한 자,기본요금 1000원(기본거리:3km)+기본 초과 1km당 200원+고속도로 및 유료도로 통행료ㆍ주차료는 이용자부담,세종특별자치시,044-300-5512,2026-01-05,5690000,세종특별자치시
부천시교통약자이동지원센터,경기도 부천시 원미구 석천로 293,경기도 부천시 원미구 중동 1024,37.51275697,126.7639108,76,특별교통수단(카니발+스타리아+레이+전기버스),75,1,1666-0420,https://ggsts.gg.go.kr/,경기도광역이동지원시스템,00:00,14:00,00:00,00:00,00:00,00:00,00:00,00:00,사전예약 미운영,차량 도착 후 10분 이내에 승차하지 않거나 차량이 배차된 후에 이용을 취소한 경우+차량이 신청 지점으로 갔으나 고객이 없거나 연락이 안되는 경우+상담원 및 운전원의 정당한 요구 및 안내에 불응하는 경우+정당한 요금을 지불하지 않는 경우+상담원 및 운전원에게 욕설이나 폭행을 하는 경우+이동지원센터 및 특별교통수단의 기물을 손괴한 경우+이용대상자가 아닌 사람을 부정하게 이용할 수 있도록 협조한 경우,전지역,서울특별시+인천광역시+경기도,[ 보행상 장애 표준 기준표 ]의 장애의 정도가 심한 보행상 장애가 있는 사람+일시적 장애로 휠체어 이용이 불가피하다는 종합병원 진단서를 제출한 사람+교통약자를 동반하는 가족 및 보호자(2명 이내),기본요금(10km 기준) 1500원+추가요금 5km 추가시(100원),부천도시공사,032-625-9403,2025-06-24,3860000,경기도 부천시
경상북도 성주군 교통약자이동지원센터,"경상북도 성주군 성주읍 성주순환로271-9, 종합사회복지관 2층","경상북도 성주군 성주읍 성산리 65-7, 종합사회복지관2층",35.91967791,128.2933904,8,카니발8대,8,0,054-931-5506,해당없음,없음,09:00,18:00,00:00,00:00,00:00,23:59,00:00,23:59,일주일전,,경상북도 성주군 전체,"대구+경상북도+ 경상남도 합천군, 거창군","장기요양 1~3등급 해당자, 임산부 및 사고 질병으로 인한 일시적 장애로 휠체어를 이용하는 사람",기본요금 1400원추가요금( 2~10km 1km당 300원+10km 초과 1km당 100원),경북지체장애인협회 성주군지회,054-931-5506,2025-06-20,5210000,경상북도 성주군
충청북도지체장애인협회증평군지회,충청북도 증평군 증평읍 광장로 118,충청북도 증평군 증평읍 교동리 163-1,36.78404788,127.5848022,4,카니발밴,4,0,043-838-8822,해당없음,충북광역교통약자,08:00,18:00,00:00,00:00,08:00,18:00,08:00,18:00,하루전까지 예약,보행상 중증장애인이 아닌 자,증평군관내,충북+서울특별시+대전광역시,보행상 중증장애인 및 대중교통 이용이 불편한 노약자,기본요금 5km 1300원+추가요금 5km이상 10km미만 km당 200원+10km이상 km당 300원,충청북도 증평군청,043-835-3844,2025-06-18,5570000,충청북도 증평군
강남세움복지관,서울특별시 강남구 광평로60길 22,서울특별시 강남구 수서동 721,37.48698084,127.106927,3,대형승합차,0,3,02-2184-8707,www.gnseum.org,없음,00:00,23:59,00:00,23:59,07:30,17:21,00:00,00:00,없음,없음,강남구 관내,해당사항 없음,장애인+노약자+임산부,0,강남세움복지관,02-2184-8707,2025-06-11,3220000,서울특별시 강남구
안성시 교통약자이동지원센터,경기도 안성시 보개면 종합운동장로 162,경기도 안성시 보개면 양복리 210,37.01319895,127.3278403,21,카니발,21,0,031-677-6655,https://ggsts.gg.go.kr/front/index.do,경기도 광역이동지원시스템,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,,안성시 전역,경기도+서울특별시+인천광역시+천안시+진천군+음성군,보행상 중증장애인+일시적 휠체어 이용자+교통약자 중 대중교통 이용이 어려운 사람,기본요금: 1500/10km+추가요금: 100원/5km,경기도 안성시 교통약자이동지원센터,031-677-6655,2024-03-11,4080000,경기도 안성시
사)강원특별자치도시각장애인연합회 철원군지회,강원특별자치도 철원군 동송읍 금학로 169-5,강원특별자치도 철원군 동송읍 이평리 712-1,38.20394617,127.2201917,10,중형승합차,10,0,1577-2014,call.gwd.go.kr,,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00,관내 즉시콜+관외 휠체어이용자(1주일전)관외 휠체어비이용자(6일전),,철원군 관내,강원특별자치도+서울+경기,보행상 장애+65세이상 대중교통 이용 어려운 사람+보장구 이용 대상자+임산부+일시적 휠체어 이용자,기본운임(4km까지) : 1100원+거리운임(4km초과시) 100원/km 추가+관외 대기 1시간 초과시 2000원/30분 추가(기초생활수급자 및 차상위계층 대기료 50감경)+주차료 및 도로사용료 추가,강원특별자치도 철원군청 교통행정부서,033-450-5366,2024-12-03,4301000,강원특별자치도 철원군
영동군 생활이동지원센터,충청북도 영동군 영동읍 반곡동길 8,,36.16913213,127.7758462,1,그랜드 스타렉스,1,0,043-743-7803,없음,해당없음,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,없음,해당없음,관내 전체지역,대전+김천+청주+무주,등록된장애인(시각장애),기본요금(5km까지) 1000원+기본거리 초과 시 추가요금 1km당 100원,영동군 생활이동지원센터,043-743-7803,2025-01-09,4440000,충청북도 영동군
구리시 교통약자 이동지원센터,"경기도 구리시 동구릉로 136번길 57, 별관 2,3층","경기도 구리시 인창동 430, 별관 2, 3층",37.61313887,127.1409183,30,"카니발, 중형 승용차",22,0,1577-3659,해당없음,구리시행복콜,00:00,00:00,00:00,00:00,00:00,23:59,00:00,23:59,없음,"1일(당일) 제한 - 요금 체납 시 납부할 때까지 이용 제한 - 탑승 시 신분증(장애인 등록증(복지카드)) 및 진단서 등 증빙서류를 제시하지 못하는 경우 - 신청 대상자와 이용자가 다른 경우(부정 이용자) - 운전원 및 상담원에 대한 폭행, 폭언 등의 불법을 행사 할 경우",구리시 전지역,서울+인천+경기도,"1. 「장애인복지법 시행규칙」 제2조 제1항에 따른 보행상 장애의 정도가 심한 장애인으로서 버스ㆍ지하철 등의 대중교통 이용이 어려운 사람 (보행상 장애의 정도가 심한 사람의 판단은 보건복지부장관이 고시한 「보행상 장애 표준기준표」에 따르며, 다음 각 목에 해당하는 서류를 제출하여야 한다.)    가. 장애인 등록증(복지카드) 또는 주소지 관할 지방자치단체에서 발급하는 ‘장애정도 결정서‘    나. 보행상 장애의 정도가 심하지 않은 장애인의 경우에는 장애인 등록증(복지카드) 및 ‘보행이 어려워 특별교통수단 등이 필요하다는 소견의 전문의 진단서‘    다. 다만, 법 개정 전 1ㆍ2급 장애인은 장애인 등록증(복지카드)를, 3급이하 장애인은 휠체어 등을 이용하는 보행상 장애인으로서 특별교통수단이 필요하다는 소견의 전문의 진단서 등   2. 65세 이상 노인,임산부 및 장애의 정도가 심한 장애인(「보행상 장애 표준기준표」상의 보행상 장애가 없는 사람)으로서 버스ㆍ지하철 등 대중교통 이용이 어려운 사람(전문의 진단서 등 증빙서류를 제출한 사람에 한함)   3. 제1호 및 제2호에 해당하는 교통약자에 준하는 사람으로서 조례로 정하는 사람   4. 제1호부터 제3호까지 해당하는 교통약자를 동반하는 가족 및 보호자(휠체어 이용 시 보호자 2인 이내, 미 이용 시 1인)  ② 시행규칙 제6조 제1항 제3호에서 “조례로 정하는 사람”이란 다음 각 호의 사람을 말한다.   1. 사고ㆍ질병 등 일시적 장애로 인한 휠체어 이용자(전문의 진단서 등 증빙서류 제출한 사람에 한함)   2. 제1호 이외에 이동에 심한 불편을 느끼는 교통약자 중 특별교통수단이 필요하다고 인정하는 사람(전문의 진단서 등 증빙서류 제출한 사람에 한함)",　기본요금 10Km이내 1500원+10Km 초과 5Km당 100원 + 고속도로(유료도로)통행료는 이용자 부담+주차요금 이용자 부담,경기도 구리시청,031-550-2576,2024-07-01,3980000,경기도 구리시
순천시교통약자이동지원센터,전라남도 순천시 용당둑길 121,전라남도 순천시 조곡동 665,34.96091348,127.4897497,22,그랜드카니발(22),22,0,061-751-8181,https://www.doumcall.kr,전남광역콜 앱,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일전,,순천시 일원,광주+전남권,"1.「장애인복지법 시행규칙」제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 버스·지하철 등의 이용이 어려운 사람+2. 65세 이상의 사람으로서 버스 등의 이용이 어려운 사람+3.「국가유공자 등 예우 및 지원에 관한 법률 시행령」별표 3에 따른 상이등급에 해당하는 자 중 2급 이상의 상이등급에 해당하는 사람으로서 버스 등의 이용이 어려운 사람+4. 임산부, 사고·질병 등으로 인한 일시적 장애로 버스 등의 이용이 어려운 사람+5. 제1호부터 제4호까지에 해당하는 사람을 동반하는 가족 및 보호자(2인 이내)","1. 기본요금(2km까지) : 500원+2. 이후요금(1km마다) : 100원 ※ 상한액 : (관내) 시내버스 요금, (관외) 시외버스 요금+3. 할증요금(00:00~04:00) : 100할증 ※ 상한액 : (관내) 시내버스 요금 2배, (관외) 시외버스 요금 2배",전라남도 순천시 교통과,061-749-5902,2024-12-02,4820000,전라남도 순천시
목포시 교통약자이동지원센터,전라남도 목포시 영산로 350-3,전라남도 목포시 용당동 993-10,34.80554093,126.4042502,24,카니발,24,0,1899-1110,https://www.doumcall.kr/,전남광역승객용앱,10:00,18:00,10:00,18:00,00:00,23:59,00:00,23:59,시외 경우 전일,,전지역,전라남도(신안군 제외)+광주광역시,중증 보행상 장애인+65세 이상 고령자+임산부+일시적 휠체어 이용자로서 대중교통수단의 이용이 어려운자+교통약자를 동반하는 가족 및 보호자 2인 이내,기본요금 500원(2km)+추가 1km당 100원(상한액 : 시내버스요금 1350원),전라남도 목포시,061-270-3328,2024-11-26,4800000,전라남도 목포시
사천시 특별교통수단,경상남도 사천시 새시장길 73,경상남도 사천시 동금동 54-8,34.93131695,128.0820506,9,카니발,9,0,1566-4488,http://www.15664488.co.kr/,특별교통수단,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,차량 이용 하루전일 21시,없음,경상남도 사천시,경상남도 및 부산광역시,1. 「장애인복지법 시행규칙」 제28조 제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 버스ㆍ지하철 등의 이용이 어려운 사람+2. 지체장애ㆍ뇌병변 등 장애의 정도가 심한 장애인으로 휠체어를 이용하는 사람+3. 65세 이상의 사람으로서 대중교통 이용이 어려운 사람+4. 임산부로서 대중교통수단의 이용이 어려운 사람+5. 일시적으로 휠체어를 이용하는 사람으로서 대중교통수단의 이용이 어려운 사람+6. 교통약자를 동반하는 가족 및 보호자,시내구간: 2200원 시외구간: 시외버스 요금과 동일,경상남도 사천시청 교통행정과,055-831-3360,2026-03-12,5340000,경상남도 사천시
사천시 특별교통수단,경상남도 사천시 사천읍 사천향교로 23-10,경상남도 사천시 사천읍 선인리 116-3,35.08619443,128.1000627,9,카니발,9,0,1566-4488,http://www.15664488.co.kr/,특별교통수단,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,차량 이용 하루전일 21시,없음,경상남도 사천시,경상남도 및 부산광역시,1. 「장애인복지법 시행규칙」 제28조 제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 버스ㆍ지하철 등의 이용이 어려운 사람+2. 지체장애ㆍ뇌병변 등 장애의 정도가 심한 장애인으로 휠체어를 이용하는 사람+3. 65세 이상의 사람으로서 대중교통 이용이 어려운 사람+4. 임산부로서 대중교통수단의 이용이 어려운 사람+5. 일시적으로 휠체어를 이용하는 사람으로서 대중교통수단의 이용이 어려운 사람+6. 교통약자를 동반하는 가족 및 보호자,시내구간: 2200원 시외구간: 시외버스 요금과 동일,경상남도 사천시청 교통행정과,055-831-3360,2026-03-12,5340000,경상남도 사천시
아산시 교통약자이동지원센터,충청남도 아산시 시민로457번길 31 2층,충청남도 아산시 온천동 1411,36.7887274017,126.9984237710,29,카니발+스타렉스,25,4,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,06:00,23:30,06:00,20:30,07:00,23:59,07:00,21:00,2일전,"장애인(3급 하지장애 외, 4급~), 65세이상 대중교통이용 가능한자 (실버카, 밀차 등의 보행 보조장구나 휠체어없이 개인 이동에 가능하여 대중 교통 이용에 문제가 없는 분)",아산시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 700원(2km), km당 130원",아산시장애인연합회,041-546-1503,2023-07-31,6440000,충청남도
서산시 교통약자이동지원센터,충청남도 서산시 안견로 252 4층,충청남도 서산시 동문동 985-1,36.77801054,126.4554934,11,카니발+스타렉스,11,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,08:00,18:30,00:00,00:00,08:00,19:00,09:00,13:00,14일전(관외 병원 예약 한정),1. 이용고객의 차량을 예약하고 비장애인만 승차 시키는 경우. 2.대중교통이용 가능한 장애의 정도가 심하지 않은 장애인 3. 65세이상 대중교통이용 가능한자,서산시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 서산시지부,041-665-1111,2023-07-31,6440000,충청남도
논산시 교통약자이동지원센터,충청남도 논산시 체육로 110,충청남도 논산시 관촉동 342,36.1949865356,127.1019223385,15,카니발,15,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,06:00,20:30,08:00,17:30,07:00,21:00,09:00,18:00,7일전,"대중교통이용 가능한 장애의 정도가 심하지 않은 장애인, 65세이상 대중교통이용 가능한자",논산시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 논산시지부,1600-6335,2023-07-31,6440000,충청남도
계룡시 교통약자이동지원센터,충청남도 계룡시 엄사면 소라실길 13 2층,충청남도 계룡시 엄사면 유동리 86-3,36.2743397739,127.2346499189,3,카니발,3,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,06:00,20:30,06:00,17:30,07:00,21:00,07:00,18:00,7일전,,계룡시,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1100원(2km), km당 130원",충남지체장애인협회 계룡시지부,042-841-9990,2023-07-31,6440000,충청남도
당진시 교통약자이동지원센터,충청남도 당진시 백암1길 61,충청남도 당진시 채운동 170-2,36.88724412,126.6247053,14,카니발+스타렉스,14,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,07:00,18:30,08:00,16:30,08:00,19:00,09:00,17:00,시외-최소7일전예약,"대중교통이용 가능한 장애의 정도가 심하지 않은 장애인, 65세이상 대중교통이용 가능한자, 와상환자",당진시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 당진시지부,041-358-9787,2023-07-31,6440000,충청남도
금산군 교통약자이동지원센터,충청남도 금산군 금산읍 사직로 173,충청남도 금산군 금산읍 상리 334,36.1121246851,127.4815168288,5,카니발,5,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,08:00,17:30,00:00,00:00,09:00,18:00,00:00,00:00,7일전,,금산군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 금산군지부,041-754-9500,2023-07-31,6440000,충청남도
부여군 교통약자이동지원센터,충청남도 부여군 규암면 흥수로 816,충청남도 부여군 규암면 내리 246-3,36.27331322,126.8712187,5,카니발,5,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,08:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,7일전,평일 저녁 18시까지 예약이 있으면 늦게까지라도 운행,부여군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 장애인임신부, 일시적장애인","관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 부여군지부,041-836-2155,2023-07-31,6440000,충청남도
서천군 교통약자이동지원센터,충청남도 서천군 서천읍 충절로81번길 7 청림주상복합빌딩 1층7호,충청남도 서천군 서천읍 군사리 649-2,36.07485734,126.6914297,7,카니발,7,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,08:00,17:30,00:00,00:00,09:00,18:00,00:00,00:00,7일전,,서천군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 서천군지부,041-951-0774,2023-07-31,6440000,충청남도
청양군 교통약자이동지원센터,충청남도 청양군 청양읍 월촌길 33,충청남도 청양군 청양읍 교월리 106-1,36.45055111,126.8110711,4,카니발,4,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,08:00,17:30,08:00,12:30,09:00,18:00,09:00,13:00,7일전,,청양군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 청양군지부,041-942-2111,2023-07-31,6440000,충청남도
